Medicamento 	Dosis 	Presentación 	Marca 	Farmacía 	Precio 	Dirección 	Comuna 	Región
30 	D-HISTAPLUS 	2,5 mg/5 ml 	100 ml JARABE 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	5190 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
31 	VIORA 	s/i 	21 COMPRIMIDOS RECUBIERTOS 	EXELTIS CHILE S.p.A. 	Cruz Verde 	15290 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
32 	ASVENTOL 	10 mg 	30 COMPRIMIDOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	19890 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
33 	IBUPROFENO 	400 mg 	20 COMPRIMIDOS RECUBIERTOS 	OPKO CHILE S.A. 	Cruz Verde 	1240 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
34 	DEPRAX 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	24490 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
35 	CARBAMAZEPINA 	200 mg 	20 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	2090 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
36 	PIPLEX 	20 mg 	30 CÁPSULAS BLANDAS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	45990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
37 	CEFADROXILO 	500 mg 	8 CÁPSULAS 	MINTLAB Co. S.A. 	Cruz Verde 	1890 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
38 	CLORFENAMINA MALEATO 	 4 mg 	20 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	590 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
39 	TRIMEBUTINA 	100 mg 	20 COMPRIMIDOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	1540 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
40 	CIMAL 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	19990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
41 	SPIRON 	1 mg 	60 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	36290 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
42 	GENIOL 	500 mg 	20 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
43 	FELSOL 	150 mg 	1 CÁPSULAS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	5890 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
44 	FELSOL 	150 mg 	2 CÁPSULAS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	8740 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
45 	FELSOL 	150 mg 	4 CÁPSULAS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	12990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
46 	LIFTER 	100 mg 	5 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	29140 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
47 	DUALTEN 	25 mg 	30 COMPRIMIDOS 	EUROLAB LTDA. 	Cruz Verde 	17380 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
48 	DUALTEN 	12,5 mg 	30 COMPRIMIDOS 	EUROLAB LTDA. 	Cruz Verde 	16790 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
49 	DUALTEN 	6,25 mg 	30 COMPRIMIDOS 	EUROLAB LTDA. 	Cruz Verde 	8240 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
50 	ENALTEN 	20 mg 	30 COMPRIMIDOS 	EUROLAB LTDA. 	Cruz Verde 	21390 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
51 	ACTAN 	20 mg 	60 CÁPSULAS 	EUROLAB LTDA. 	Cruz Verde 	32290 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
52 	ENALTEN 	10 mg 	30 COMPRIMIDOS 	EUROLAB LTDA. 	Cruz Verde 	18370 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
53 	SULIX 	 0,4 mg 	60 COMPRIMIDOS DE LIBERACIÓN PROLONGADA 	SYNTHON CHILE LTDA. 	Cruz Verde 	21990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
54 	SIBILLA 	s/i 	21 COMPRIMIDOS RECUBIERTOS 	COMERCIAL GEDEON RICHTER (CHILE) LTDA. 	Cruz Verde 	7090 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
55 	ESCITALOPRAM 	 10 mg 	30 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	9390 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
56 	LEVEVITAE 	500 mg 	30 COMPRIMIDOS RECUBIERTOS 	GALENICUM HEALTH CHILE S.p.A. 	Cruz Verde 	16790 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
57 	AMOXICILINA / ÁCIDO CLAVULANICO 500/125 	500/125 	20 COMPRIMIDOS RECUBIERTOS 	LABORATORIO HOSPIFARMA CHILE LTDA. 	Cruz Verde 	7590 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
58 	SERTAC 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	21990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
59 	SERTAC 	50 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	20590 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
60 	AMOLEX DUO 875/125 	875/125 	14 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	22190 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
61 	AMOLEX DUO 875/125 	875/125 	20 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	25090 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
62 	MADOZIDE 	200/50 	30 COMPRIMIDOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	17890 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
63 	ORALNE 	 5 mg 	30 CÁPSULAS BLANDAS 	DEUTSCHE PHARMA S.A. 	Cruz Verde 	16290 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
64 	LEVOXIN 	500 mg 	7 COMPRIMIDOS RECUBIERTOS 	EUROFARMA CHILE S.A. 	Cruz Verde 	15290 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
65 	LEVOXIN 	500 mg 	10 COMPRIMIDOS RECUBIERTOS 	EUROFARMA CHILE S.A. 	Cruz Verde 	14790 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
66 	ATORVASTATINA 	 10 mg 	30 COMPRIMIDOS RECUBIERTOS 	OPKO CHILE S.A. 	Cruz Verde 	2290 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
67 	ROSIMOL 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	NOVARTIS CHILE S.A. 	Cruz Verde 	15990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
68 	PICLOKARE 	75 mg 	28 COMPRIMIDOS RECUBIERTOS 	ETEX FARMACÉUTICA LTDA. 	Cruz Verde 	15990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
69 	HIPOGLUCIN 	750 mg 	30 COMPRIMIDOS DE LIBERACIÓN PROLONGADA 	LABORATORIO CHILE S.A. 	Cruz Verde 	11940 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
70 	HIPOGLUCIN 	750 mg 	60 COMPRIMIDOS DE LIBERACIÓN PROLONGADA 	LABORATORIO CHILE S.A. 	Cruz Verde 	22790 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
71 	AZYMOL 	 5 mg 	30 COMPRIMIDOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	33290 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
72 	FAMOTIDINA 	40 mg 	10 COMPRIMIDOS RECUBIERTOS 	OPKO CHILE S.A. 	Cruz Verde 	790 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
73 	VASTUS 	5 mg 	30 COMPRIMIDOS RECUBIERTOS 	TECNOFARMA S.A. 	Cruz Verde 	16890 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
74 	IBANOX 	150 mg 	1 COMPRIMIDOS RECUBIERTOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	20290 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
75 	RISPYL 	 3 mg 	20 COMPRIMIDOS RECUBIERTOS 	AXON PHARMA S.p.A. 	Cruz Verde 	19490 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
76 	ENALAPRIL MALEATO 	10 mg 	20 COMPRIMIDOS 	OPKO CHILE S.A. 	Cruz Verde 	690 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
77 	CITALOPRAM 	20 mg 	30 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	6990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
78 	DOMPERIDONA 	10 mg 	20 COMPRIMIDOS 	OPKO CHILE S.A. 	Cruz Verde 	1090 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
79 	ESCITALOPRAM 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	9390 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
80 	BIOPSOL 	0,25 mg 	30 COMPRIMIDOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	13790 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
81 	LOWDEN 	40 mg 	30 COMPRIMIDOS RECUBIERTOS 	EUROLAB LTDA. 	Cruz Verde 	24990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
82 	MAILEN 	5 mg 	30 COMPRIMIDOS RECUBIERTOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	9990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
83 	ALEXIA FORTE 	180 mg 	10 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	12990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
84 	ALEXIA FORTE 	180 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	25640 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
85 	NEOHYSTICLAR 	5 mg 	30 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	4290 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
86 	ZENTIUS 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	20940 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
87 	TOPREL 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	55990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
88 	ECTIBAN 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	15240 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
89 	VALAPLEX 	80 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	16240 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
90 	VALAPLEX 	160 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	16990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
91 	PROCION 	20 mg 	20 COMPRIMIDOS 	MEDIPHARM LTDA. 	Cruz Verde 	5390 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
92 	PROPRANOLOL CLORHIDRATO 	10 mg 	20 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
93 	HIPOLIXAN 	40 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	20990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
94 	CORODIN 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	15990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
95 	INFEX 	500 mg 	14 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	20490 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
96 	INFEX 	500 mg 	20 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS LAFI LTDA. 	Cruz Verde 	22990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
97 	QUETIDIN 	25 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	19990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
98 	QUETIDIN 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	39890 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
99 	QUETIDIN 	200 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	63540 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
100 	HIDROCLOROTIAZIDA 	50 mg 	20 COMPRIMIDOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	1190 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
101 	IPRAN 	10 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	23990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
102 	IPRAN 	20 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	31990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
103 	NIPOLEN 	4 mg 	20 COMPRIMIDOS 	MINTLAB Co. S.A. 	Cruz Verde 	1990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
104 	ZILFIC 	100 mg 	1 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	4190 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
105 	ZILFIC 	100 mg 	5 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	10990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
106 	LOSAPRES 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	PHARMA INVESTI DE CHILE S.A. 	Cruz Verde 	17390 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
107 	CARVEDILOL 	25 mg 	30 COMPRIMIDOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	4990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
108 	CLARITROMICINA 	500 mg 	14 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS ANDRÓMACO S.A. 	Cruz Verde 	4990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
109 	MOXAVAL 	400 mg 	7 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	37990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
110 	MOXAVAL 	400 mg 	10 COMPRIMIDOS RECUBIERTOS 	LABORATORIOS SAVAL S.A. 	Cruz Verde 	46190 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
111 	SIMPERTEN 	100 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	16690 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
112 	ACEBRON 	4 mg 	20 COMPRIMIDOS 	LABORATORIOS RECALCINE S.A. 	Cruz Verde 	19540 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
113 	AZITROMICINA 	500 mg 	3 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	1540 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
114 	AZITROMICINA 	500 mg 	6 COMPRIMIDOS RECUBIERTOS 	MINTLAB Co. S.A. 	Cruz Verde 	2390 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
115 	LEVOFLOXACINO 	500 mg 	7 COMPRIMIDOS RECUBIERTOS 	LABORATORIO CHILE S.A. 	Cruz Verde 	5090 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
116 	SULIX 	 0,4 mg 	30 CÁPSULAS CON GRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 	SYNTHON CHILE LTDA. 	Cruz Verde 	11490 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
117 	SULIX 	 0,4 mg 	60 CÁPSULAS CON GRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 	SYNTHON CHILE LTDA. 	Cruz Verde 	23990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
118 	GLAUPAX 	850 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	5390 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
119 	GLAUPAX 	500 mg 	30 COMPRIMIDOS RECUBIERTOS 	LABORATORIO PASTEUR S.A. 	Cruz Verde 	5390 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
120 	ILTUX 	40 mg 	28 COMPRIMIDOS RECUBIERTOS 	TECNOFARMA S.A. 	Cruz Verde 	17290 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
121 	SULIX L.C. 	 0,4 mg 	60 COMPRIMIDOS DE LIBERACIÓN PROLONGADA 	SYNTHON CHILE LTDA. 	Cruz Verde 	21990 	Avda. Kennedy Nº 9001, local 217 Alto Las Condes 	Las Condes 	Metropolitana
